C-BS-I;C-BS-O;3.073613
C-BS-I;C-CS1-I;6.058649
C-BS-I;C-CS1-O;9.322469
C-BS-I;C-CS2-I;6.496925
C-BS-I;C-CS2-O;7.541513
C-BS-I;C-DS-I;8.269358
C-BS-I;C-DS-O;6.129328
C-BS-I;C-RS1-I;2.219589
C-BS-I;C-RS1-O;3.205605
C-BS-I;C-RS2-I;10.428924
C-BS-I;C-RS2-O;9.434432
C-BS-I;M-BS-I;10.590150
C-BS-I;M-BS-O;11.922277
C-BS-I;M-CS1-I;6.069221
C-BS-I;M-CS1-O;4.926326
C-BS-I;M-CS2-I;10.664528
C-BS-I;M-CS2-O;11.042776
C-BS-I;M-DS-I;9.300200
C-BS-I;M-DS-O;8.520746
C-BS-I;M-RS1-I;10.017563
C-BS-I;M-RS1-O;7.354563
C-BS-I;M-RS2-I;6.642873
C-BS-I;M-RS2-O;3.884010
C-BS-O;C-BS-I;3.073613
C-BS-O;C-CS1-I;7.452332
C-BS-O;C-CS1-O;9.324498
C-BS-O;C-CS2-I;4.660185
C-BS-O;C-CS2-O;5.704772
C-BS-O;C-DS-I;7.731637
C-BS-O;C-DS-O;5.861686
C-BS-O;C-RS1-I;3.519436
C-BS-O;C-RS1-O;5.568393
C-BS-O;C-RS2-I;10.161281
C-BS-O;C-RS2-O;10.445054
C-BS-O;M-BS-I;11.983833
C-BS-O;M-BS-O;12.932899
C-BS-O;M-CS1-I;7.462904
C-BS-O;M-CS1-O;4.658684
C-BS-O;M-CS2-I;10.396885
C-BS-O;M-CS2-O;10.775133
C-BS-O;M-DS-I;9.032557
C-BS-O;M-DS-O;8.253104
C-BS-O;M-RS1-I;11.411246
C-BS-O;M-RS1-O;8.748246
C-BS-O;M-RS2-I;4.806132
C-BS-O;M-RS2-O;3.616368
C-CS1-I;C-BS-I;6.058649
C-CS1-I;C-BS-O;7.452333
C-CS1-I;C-CS1-O;4.863633
C-CS1-I;C-CS2-I;5.926527
C-CS1-I;C-CS2-O;6.475821
C-CS1-I;C-DS-I;4.778152
C-CS1-I;C-DS-O;3.914149
C-CS1-I;C-RS1-I;5.553874
C-CS1-I;C-RS1-O;3.000635
C-CS1-I;C-RS2-I;5.700415
C-CS1-I;C-RS2-O;5.012541
C-CS1-I;M-BS-I;6.168259
C-CS1-I;M-BS-O;7.500387
C-CS1-I;M-CS1-I;0.687222
C-CS1-I;M-CS1-O;4.930202
C-CS1-I;M-CS2-I;5.936020
C-CS1-I;M-CS2-O;6.314267
C-CS1-I;M-DS-I;4.754380
C-CS1-I;M-DS-O;3.792238
C-CS1-I;M-RS1-I;5.595672
C-CS1-I;M-RS1-O;2.932672
C-CS1-I;M-RS2-I;5.813322
C-CS1-I;M-RS2-O;5.023800
C-CS1-O;C-BS-I;9.322468
C-CS1-O;C-BS-O;9.324499
C-CS1-O;C-CS1-I;4.863632
C-CS1-O;C-CS2-I;6.639410
C-CS1-O;C-CS2-O;7.188704
C-CS1-O;C-DS-I;5.491035
C-CS1-O;C-DS-O;4.627031
C-CS1-O;C-RS1-I;8.024426
C-CS1-O;C-RS1-O;6.264454
C-CS1-O;C-RS2-I;3.415382
C-CS1-O;C-RS2-O;2.110891
C-CS1-O;M-BS-I;4.951103
C-CS1-O;M-BS-O;4.598737
C-CS1-O;M-CS1-I;4.816337
C-CS1-O;M-CS1-O;5.687605
C-CS1-O;M-CS2-I;3.650987
C-CS1-O;M-CS2-O;4.029234
C-CS1-O;M-DS-I;4.426282
C-CS1-O;M-DS-O;2.254426
C-CS1-O;M-RS1-I;3.359493
C-CS1-O;M-RS1-O;3.334681
C-CS1-O;M-RS2-I;6.526205
