C-BS-I;C-BS-O;2.178015
C-BS-I;C-CS1-I;5.762557
C-BS-I;C-CS1-O;5.968581
C-BS-I;C-CS2-I;11.445461
C-BS-I;C-CS2-O;10.416111
C-BS-I;C-DS-I;7.004344
C-BS-I;C-DS-O;8.932665
C-BS-I;C-RS1-I;2.907352
C-BS-I;C-RS1-O;3.394674
C-BS-I;C-RS2-I;9.505003
C-BS-I;C-RS2-O;7.772002
C-BS-I;M-BS-I;12.685506
C-BS-I;M-BS-O;10.827268
C-BS-I;M-CS1-I;7.963798
C-BS-I;M-CS1-O;7.992095
C-BS-I;M-CS2-I;3.223752
C-BS-I;M-CS2-O;6.366075
C-BS-I;M-DS-I;11.351440
C-BS-I;M-DS-O;8.966402
C-BS-I;M-RS1-I;13.081185
C-BS-I;M-RS1-O;11.650065
C-BS-I;M-RS2-I;7.344346
C-BS-I;M-RS2-O;5.956788
C-BS-O;C-BS-I;2.178015
C-BS-O;C-CS1-I;3.923459
C-BS-O;C-CS1-O;4.129482
C-BS-O;C-CS2-I;9.606362
C-BS-O;C-CS2-O;8.577012
C-BS-O;C-DS-I;5.999922
C-BS-O;C-DS-O;7.093566
C-BS-O;C-RS1-I;5.019267
C-BS-O;C-RS1-O;3.654984
C-BS-O;C-RS2-I;7.665904
C-BS-O;C-RS2-O;5.932904
C-BS-O;M-BS-I;10.846407
C-BS-O;M-BS-O;8.988169
C-BS-O;M-CS1-I;6.124700
C-BS-O;M-CS1-O;6.152996
C-BS-O;M-CS2-I;3.484063
C-BS-O;M-CS2-O;4.526976
C-BS-O;M-DS-I;9.844257
C-BS-O;M-DS-O;7.127303
C-BS-O;M-RS1-I;11.242086
C-BS-O;M-RS1-O;9.810966
C-BS-O;M-RS2-I;5.505247
C-BS-O;M-RS2-O;4.117690
C-CS1-I;C-BS-I;5.762557
C-CS1-I;C-BS-O;3.923458
C-CS1-I;C-CS1-O;4.361714
C-CS1-I;C-CS2-I;6.780199
C-CS1-I;C-CS2-O;5.750850
C-CS1-I;C-DS-I;4.886717
C-CS1-I;C-DS-O;4.267403
C-CS1-I;C-RS1-I;6.163208
C-CS1-I;C-RS1-O;4.708904
C-CS1-I;C-RS2-I;4.839742
C-CS1-I;C-RS2-O;3.106741
C-CS1-I;M-BS-I;8.020246
C-CS1-I;M-BS-O;6.162006
C-CS1-I;M-CS1-I;3.298537
C-CS1-I;M-CS1-O;4.353706
C-CS1-I;M-CS2-I;4.537983
C-CS1-I;M-CS2-O;3.413771
C-CS1-I;M-DS-I;7.018095
C-CS1-I;M-DS-O;4.301140
C-CS1-I;M-RS1-I;8.415924
C-CS1-I;M-RS1-O;6.984803
C-CS1-I;M-RS2-I;4.392042
C-CS1-I;M-RS2-O;1.291527
